区分,子会社コード,子会社名,市場(子),時価総額(子/億円),PBR(子),親会社コード,親会社名,市場(親),時価総額(親/億円),親会社の持株比率(%),比率の種類,基準日,出所,備考
連結子会社(50%超),8198,マックスバリュ東海,スタンダード,1063.4,1.11,8267,イオン,プライム,36339.6,63.86,所有株式数,不明,https://www.ullet.com/%E3%83%9E%E3%83%83%E3%82%AF%E3%82%B9%E3%83%90%E3%83%AA%E3%83%A5%E6%9D%B1%E6%B5%B7/%E5%A4%A7%E6%A0%AA%E4%B8%BB,親会社が筆頭株主。ullet表示は2026年時点だが基準日の明示なし
連結子会社(50%超),9158,シーユーシー,グロース,234.5,0.7,2413,エムスリー,プライム,11813.8,63.46,議決権,2026-03-31,https://kitaishihon.com/company/9158/board-of-director,親子関係あり。有価証券報告書に親会社エムスリー（被所有）63.46%、当社は同社の連結子会社と記載
連結子会社(50%超),2327,日鉄ソリューションズ,プライム,6874.6,2.49,5401,日本製鉄,プライム,36322.7,63.43,所有株式数,2026-03-31,https://www.ullet.com/2327/%E5%A4%A7%E6%A0%AA%E4%B8%BB,
連結子会社(50%超),8244,近鉄百貨店,スタンダード,769.9,1.66,9041,近鉄グループホールディングス,プライム,6744.6,63.12,所有株式数,2026年,https://www.ullet.com/近鉄百貨店/大株主,
連結子会社(50%超),6180,ＧＭＯメディア,グロース,66.3,2.29,9449,ＧＭＯインターネットグループ,プライム,3722.5,62.87,所有株式数,2025-12-31,https://www.ullet.com/ＧＭＯメディア/大株主,
連結子会社(50%超),4270,ＢｅｅＸ,グロース,42.7,1.39,3915,テラスカイ,プライム,300.6,62.84,所有株式数,2026-02-28,https://s.kabutan.jp/stocks/4270/stockholders/,テラスカイは2025年2月の変更報告書で69.56%→68.08%と段階的に保有比率を引き下げ中
連結子会社(50%超),303A,ｖｉｓｕｍｏ,グロース,11.6,1.69,3371,ソフトクリエイトホールディングス,プライム,553.7,62.49,所有株式数,2026-01-01,https://maonline.jp/kabuhoyu/sh-s100xe9z,関係確認。2026/1/6提出の変更報告書(大量保有)で53.01%→62.49%に買い増し。基準日は報告義務発生日
連結子会社(50%超),7198,ＳＢＩアルヒ,プライム,373.4,1.05,8473,ＳＢＩホールディングス,プライム,21149.9,62.47,所有株式数,2026-03-31,https://s.kabutan.jp/stocks/7198/stockholders,直接の保有者は非上場のSBIノンバンクホールディングス（SBIホールディングス傘下）
連結子会社(50%超),4689,ＬＩＮＥヤフー,プライム,36821.8,1.23,9434,ソフトバンク,プライム,118675.5,62.4,不明,2026-03-31,https://the-shashi.com/tse/4689/shareholders/,直接の筆頭株主は非上場のAホールディングス。ソフトバンク(9434)はAホールディングスを通じた間接保有で、9434自身の直接持分は別途。2024-2025年にLINEヤフーの自己株式公開買付けにAホールディングスが応募する資本異動あり
連結子会社(50%超),5834,ＳＢＩリーシングサービス,グロース,451.7,1.48,8473,ＳＢＩホールディングス,プライム,21149.9,61.96,所有株式数,不明,https://web.fisco.jp/platform/companies/0583400,2024年3月にSBIホールディングスが親会社異動（SBIノンバンクHDへ）を発表。直接の親会社はSBIノンバンクHDで上場親会社はSBI HD(8473)。FISCOは基準日を表示しないため基準日不明。
連結子会社(50%超),4812,電通総研,プライム,5601.7,5.31,4324,電通グループ,プライム,9321.7,61.76,所有株式数,2026-06-30,https://s.kabutan.jp/stocks/4812/stockholders/,2026年7月に電通グループが株式非公開化を検討していると報じられている／2026年7月3日に株式非公開化検討の報道あり（株探）。TOB等の可能性があり要追跡
連結子会社(50%超),7115,アルファパーチェス,スタンダード,146.5,2.12,2678,アスクル,プライム,1112.9,61.43,議決権,2025-12-31,https://kitaishihon.com/company/7115/board-of-director,親子関係あり。有価証券報告書の関係会社欄に親会社アスクル（被所有）61.43%と記載
連結子会社(50%超),9414,日本ＢＳ放送,スタンダード,177.3,0.71,3048,ビックカメラ,プライム,2950.7,61.35,所有株式数,不明,https://web.fisco.jp/platform/companies/0941400,FISCOは基準日を表示しないため基準日不明。
連結子会社(50%超),2892,日本食品化工,スタンダード,230.5,0.77,8058,三菱商事,プライム,181134.3,60.68,議決権,2026-03-31,https://www.nisshoku.co.jp/ir/stock/stock-information.html,"関係あり。会社IRの大株主情報で三菱商事2,942千株・議決権比率60.68%。上場継続中でTOB・完全子会社化の発表は確認されず（2025年の三菱商事TOBは三菱食品であり日本食品化工ではない）"
連結子会社(50%超),9057,遠州トラック,スタンダード,245.5,0.99,9303,住友倉庫,プライム,3146.3,60.58,所有株式数,不明,https://www.ullet.com/%E9%81%A0%E5%B7%9E%E3%83%88%E3%83%A9%E3%83%83%E3%82%AF/%E5%A4%A7%E6%A0%AA%E4%B8%BB,親会社が筆頭株主。ullet表示は2026年時点だが基準日の明示なし
連結子会社(50%超),4343,イオンファンタジー,プライム,540.6,6.87,8267,イオン,プライム,36339.6,60.47,所有株式数,2026-02-28,https://www.fantasy.co.jp/company/ircontent/stock_bond/stock_bond_04.html,公式IR。2月決算
連結子会社(50%超),6366,千代田化工建設,スタンダード,1814.3,2.83,8058,三菱商事,プライム,181134.3,60.23,所有株式数,2026-03-31,https://www.ullet.com/%E5%8D%83%E4%BB%A3%E7%94%B0%E5%8C%96%E5%B7%A5%E5%BB%BA%E8%A8%AD/%E5%A4%A7%E6%A0%AA%E4%B8%BB,
連結子会社(50%超),4356,応用技術,スタンダード,91.9,8.71,9715,トランス・コスモス,プライム,1360.3,60.22,所有株式数,2025-12-31,https://www.ullet.com/%E5%BF%9C%E7%94%A8%E6%8A%80%E8%A1%93/%E5%A4%A7%E6%A0%AA%E4%B8%BB,"親会社が筆頭株主(3,438千株)"
連結子会社(50%超),7678,あさくま,スタンダード,403.1,14.27,2751,テンポスホールディングス,スタンダード,436.3,60.09,所有株式数,2026-07-31,https://s.kabutan.jp/stocks/7678/stockholders/,
連結子会社(50%超),3484,イノベーションホールディングス,スタンダード,206.3,4.45,9428,クロップス,スタンダード,139.2,59.72,所有株式数,2026-03-31,https://www.ullet.com/%E3%82%A4%E3%83%8E%E3%83%99%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3%E3%83%9B%E3%83%BC%E3%83%AB%E3%83%87%E3%82%A3%E3%83%B3%E3%82%B9/%E5%A4%A7%E6%A0%AA%E4%B8%BB,関係確認。クロップスが筆頭株主で過半数保有
連結子会社(50%超),7326,ＳＢＩインシュアランスグループ,グロース,568.9,1.13,8473,ＳＢＩホールディングス,プライム,21149.9,59.67,所有株式数,2026-03-31,https://www.kabutore.biz/genzaikabuka/okabunushi7326.html,第2位に光通信9.49%
連結子会社(50%超),9325,ファイズホールディングス,スタンダード,115.0,2.45,9090,ＡＺ−ＣＯＭ丸和ホールディングス,プライム,1218.9,57.88,所有株式数,2026-03-31,https://s.kabutan.jp/stocks/9325/stockholders/,
連結子会社(50%超),9160,オンザページ,スタンダード,127.2,0.92,3479,ＴＫＰ,グロース,691.5,57.74,所有株式数,2026-04-01,https://s.kabutan.jp/news/n202604070637/,関係確認。2026/4/7提出の変更報告書No.2でTKPの保有割合が60.0%→57.74%に減少(報告義務発生日2026/4/1)。TKPのTOBで傘下入り。売却により比率が下がっている点に注意
連結子会社(50%超),7774,ジャパン・ティッシュエンジニアリング,グロース,344.4,6.7,3401,帝人,プライム,3264.1,57.71,所有株式数,2026-03-31,https://strainer.jp/companies/JP-7774/ownership,第2位ニデック10.4%
連結子会社(50%超),1850,南海辰村建設,スタンダード,121.4,0.62,9044,ＮＡＮＫＡＩ,プライム,3437.5,57.71,所有株式数,2026-03-31,https://www.ullet.com/%E5%8D%97%E6%B5%B7%E8%BE%B0%E6%9D%91%E5%BB%BA%E8%A8%AD/%E5%A4%A7%E6%A0%AA%E4%B8%BB,親会社(南海電気鉄道=NANKAI)が筆頭株主。TOB等の直近発表は確認されず
連結子会社(50%超),6662,ユビテック,スタンダード,32.7,2.14,8591,オリックス,プライム,63917.6,57.64,所有株式数,2025-06-30,https://www.ullet.com/ユビテック/大株主,
連結子会社(50%超),2573,北海道コカ・コーラボトリング,スタンダード,555.2,1.27,7912,大日本印刷,プライム,12666.9,56.97,所有株式数,2024-12-31,https://www.hokkaido.ccbc.co.jp/ir/stock-information/,公式IRの掲載が2024年12月期基準のまま。12月決算のためより新しい基準日の開示は未確認
連結子会社(50%超),3976,シャノン,グロース,34.1,2.46,3970,イノベーション,スタンダード,22.3,56.71,所有株式数,2026-06-30,https://www.kabutore.biz/genzaikabuka/okabunushi3976.html,"親会社はリスト記載の伊藤忠商事ではない。2025年1月21日に株式会社イノベーション(3970)のTOBが成立し親会社・筆頭株主が異動（3,360,800株）。2025年9月にグループ再編（Innovation X Solutionsの完全子会社化等）を発表"
連結子会社(50%超),4051,ＧＭＯフィナンシャルゲート,プライム,500.4,7.2,9449,ＧＭＯインターネットグループ,プライム,3722.5,56.52,所有株式数,2026-03-31,https://s.kabutan.jp/stocks/4051/stockholders/,直接の親会社はGMOペイメントゲートウェイ(3769)。GMOインターネットグループ(9449)は間接的な親会社であり、リスト記載の親会社名は要修正
連結子会社(50%超),4498,サイバートラスト,グロース,192.3,2.56,9434,ソフトバンク,プライム,118675.5,56.44,所有株式数,2026-03-31,https://www.ullet.com/%E3%82%B5%E3%82%A4%E3%83%90%E3%83%BC%E3%83%88%E3%83%A9%E3%82%B9%E3%83%88/%E5%A4%A7%E6%A0%AA%E4%B8%BB,直接の保有者はSBテクノロジー（非上場）56.44%。ソフトバンクは間接保有／関係確認(間接)。直接の筆頭株主はSBテクノロジー(4726)で56.44%。ソフトバンク(9434)はSBテクノロジー経由の間接保有でありソフトバンク本体の直接保有比率は不明
連結子会社(50%超),8133,伊藤忠エネクス,プライム,2646.7,1.41,8001,伊藤忠商事,プライム,161222.3,55.71,所有株式数,2026-03-31,https://www.itcenex.com/ja/ir/stockholder/info/index.html,公式IR
連結子会社(50%超),5449,大阪製鐵,スタンダード,766.2,0.63,5401,日本製鉄,プライム,36322.7,55.58,所有株式数,2026-03-31,https://www.ullet.com/%E5%A4%A7%E9%98%AA%E8%A3%BD%E9%90%B5/%E5%A4%A7%E6%A0%AA%E4%B8%BB,日本製鉄の持分は65.85%（2025-03-31）から55.58%（2026-03-31）へ低下。第2位にINTERTRUST TRUSTEES (CAYMAN) 17.48%／親会社が筆頭株主。前年2025-03-31の65.85%から低下。2位にINTERTRUST TRUSTEES(CAYMAN)17.48%
連結子会社(50%超),7215,ファルテック,スタンダード,39.7,0.21,6463,ＴＰＲ,プライム,1006.7,55.53,所有株式数,不明,https://web.fisco.jp/platform/companies/0721500,FISCOは基準日を表示しないため基準日不明。
連結子会社(50%超),3326,ランシステム,スタンダード,28.9,8.85,8214,ＡＯＫＩホールディングス,プライム,1447.8,55.47,所有株式数,2026-03-31,https://s.kabutan.jp/stocks/3326/stockholders/,2022年に第三者割当増資でAOKIHDが子会社化
連結子会社(50%超),3633,ＧＭＯペパボ,スタンダード,134.1,4.06,9449,ＧＭＯインターネットグループ,プライム,3722.5,55.43,所有株式数,2025-12-31,https://s.kabutan.jp/stocks/3633/stockholders/,別途GMOインターネット(株)が1.97%を保有
連結子会社(50%超),5753,日本伸銅,スタンダード,55.3,1.27,5757,ＣＫサンエツ,プライム,410.3,55.4,所有株式数,2026-03-31,https://www.ullet.com/%E6%97%A5%E6%9C%AC%E4%BC%B8%E9%8A%85/%E5%A4%A7%E6%A0%AA%E4%B8%BB,
連結子会社(50%超),4151,協和キリン,プライム,11812.1,1.29,2503,キリンホールディングス,プライム,22571.8,55.17,所有株式数,不明,https://www.ullet.com/協和キリン/大株主,親会社が筆頭株主。ullet表示は2025年時点だが基準日の明示なし
連結子会社(50%超),6099,エラン,プライム,443.9,2.89,2413,エムスリー,プライム,11813.8,55.02,議決権,2025-12-31,https://kitaishihon.com/company/6099/board-of-director,親子関係あり。有価証券報告書の関係会社欄に「（親会社）エムスリー株式会社」被所有55.02%と記載
連結子会社(50%超),1429,日本アクア,プライム,256.3,2.27,9831,ヤマダホールディングス,プライム,4759.2,54.95,所有株式数,2025-12-31,https://www.n-aqua.jp/ir/shareholders.html,直接の親会社は非上場のヒノキヤグループ（54.95%）。同社IRページに「ヤマダホールディングスグループ企業」と明記されており、上場親会社はヤマダHD(9831)。
連結子会社(50%超),3159,丸善ＣＨＩホールディングス,スタンダード,352.6,0.62,7912,大日本印刷,プライム,12666.9,54.92,所有株式数,2026-01-31,https://www.maruzen-chi.co.jp/ja/ir/stock/shareholder.html,"会社IR「株式の状況」。発行済株式総数92,554,085株中50,828,336株"
連結子会社(50%超),9423,フォーバル・リアルストレート,スタンダード,25.5,3.68,8275,フォーバル,スタンダード,261.9,54.9,議決権,2026-03-31,https://www.forval.co.jp/investor_report/up_img/20260619_r2.pdf,フォーバルの2026年3月期有価証券報告書「関係会社の状況」に連結子会社として記載
連結子会社(50%超),9216,ビーウィズ,プライム,244.4,2.81,2168,パソナグループ,プライム,581.2,54.61,所有株式数,2025-05-31,https://www.ullet.com/ビーウィズ/大株主,
連結子会社(50%超),299A,クラシル,グロース,531.6,3.83,4689,ＬＩＮＥヤフー,プライム,36821.8,54.5,議決権,2026-03-31,https://finance.biggo.jp/news/jpx_tdnet_140120260630584982,親子関係あり。TDnet「支配株主等に関する事項について」。直接39.1%＋子会社ZVenture Capital組成のYJ2号投資事業組合15.4%の合算で親会社
連結子会社(50%超),2211,不二家,プライム,652.1,1.09,2212,山崎製パン,プライム,7181.1,54.3,所有株式数,2026-06-30,https://www.fujiya-peko.co.jp/company/ir/stock/stock.html,"不二家公式IR。自己株式9,157株を控除して算出"
連結子会社(50%超),4483,ＪＭＤＣ,プライム,2336.3,2.81,6645,オムロン,プライム,12128.1,54.19,所有株式数,2026-03-31,https://www.ullet.com/%EF%BC%AA%EF%BC%AD%EF%BC%A4%EF%BC%A3/%E5%A4%A7%E6%A0%AA%E4%B8%BB,第4位にノーリツ鋼機4.55%
連結子会社(50%超),7614,オーエムツーネットワーク,スタンダード,102.8,0.56,2292,Ｓ　Ｆｏｏｄｓ,プライム,869.1,53.83,所有株式数,2026-01-31,https://www.ullet.com/7614.html,"関係確認。エスフーズが3,584千株53.83%で筆頭株主。1月期決算のため基準日は1月末"
連結子会社(50%超),6185,ＳＭＮ,スタンダード,53.1,1.23,6758,ソニーグループ,プライム,216102.0,53.74,所有株式数,2026-03-31,https://www.ullet.com/%EF%BC%B3%EF%BC%AD%EF%BC%AE/%E5%A4%A7%E6%A0%AA%E4%B8%BB,"直接の保有者はソニーネットワークコミュニケーションズ（非上場）53.74%／関係確認(間接)。直接の筆頭株主はソニーネットワークコミュニケーションズ(ソニーグループ傘下)で7,861千株53.74%。ソニーグループ本体の直接保有比率は不明"
連結子会社(50%超),9726,ＫＮＴ−ＣＴホールディングス,スタンダード,550.8,1.6,9041,近鉄グループホールディングス,プライム,6744.6,53.56,所有株式数,不明,https://www.ullet.com/ＫＮＴ－ＣＴホールディングス/大株主,親会社が筆頭株主。2位に日本マスタートラスト信託銀行17.39%。ullet表示は2026年時点だが基準日の明示なし
連結子会社(50%超),7970,信越ポリマー,プライム,1828.5,1.4,4063,信越化学工業,プライム,106072.4,53.48,所有株式数,2026-03-31,https://www.ullet.com/%E4%BF%A1%E8%B6%8A%E3%83%9D%E3%83%AA%E3%83%9E%E3%83%BC/%E5%A4%A7%E6%A0%AA%E4%B8%BB,"親会社が筆頭株主(42,986千株)"
連結子会社(50%超),2148,アイティメディア,プライム,225.1,3.18,9434,ソフトバンク,プライム,118675.5,53.4,所有株式数,2025-03-31,https://corp.itmedia.co.jp/ir/stock/info/,会社IRが「親会社：SBメディアホールディングス（持株比率53.4%）」と明記。SBメディアHDとソフトバンク(9434)の資本関係は本調査では一次情報で未確認。
連結子会社(50%超),5025,マーキュリー,グロース,15.6,1.38,3491,ＧＡ　ｔｅｃｈｎｏｌｏｇｉｅｓ,グロース,552.2,53.34,所有株式数,2026-02-28,https://www.ullet.com/5025.html,"関係確認。GA technologiesが1,424千株53.34%で筆頭株主。マーキュリーは2月期決算のため基準日は2月末"
連結子会社(50%超),9436,沖縄セルラー電話,スタンダード,4079.5,4.13,9433,ＫＤＤＩ,プライム,113096.5,53.24,所有株式数,2026-03-31,https://s.kabutan.jp/stocks/9436/stockholders/,
連結子会社(50%超),9827,リリカラ,スタンダード,78.1,1.03,3479,ＴＫＰ,グロース,691.5,53.01,所有株式数,2025-12-31,https://www.ullet.com/%E3%83%AA%E3%83%AA%E3%82%AB%E3%83%A9/%E5%A4%A7%E6%A0%AA%E4%B8%BB,"関係確認。TKPが6,529千株53.01%で筆頭株主(2023年の26.69%から買い増し)。12月期決算のため基準日は12月末"
連結子会社(50%超),6548,旅工房,グロース,24.5,3.31,6030,アドベンチャー,グロース,128.5,53.0,所有株式数,不明,https://web.fisco.jp/platform/companies/0654800,関係あり。2023-10-31の第三者割当増資引受により子会社化（当時の議決権所有割合58.24%、出所 https://www.nihon-ma.co.jp/news/20230810_6030-15/ ）。FISCO最新大株主表では53.00%。基準日不明
連結子会社(50%超),4107,伊勢化学工業,スタンダード,1977.2,4.71,5201,ＡＧＣ,プライム,11991.8,52.83,所有株式数,不明,https://web.fisco.jp/platform/companies/0410700,FISCOは基準日を表示しないため基準日不明。2026-03-27にTDnetで「支配株主等に関する事項について」の開示があるが、掲載ページ（日経）がrobots.txtで取得できず議決権割合・基準日は未確認。
連結子会社(50%超),9632,スバル興業,スタンダード,454.9,1.19,9602,東宝,プライム,13147.4,52.82,所有株式数,2024-01-31,https://ja.wikipedia.org/wiki/%E3%82%B9%E3%83%90%E3%83%AB%E8%88%88%E6%A5%AD,出所がWikipedia(四季報等の二次情報)で基準日が2024-01-31と古い。株探・IRBANK・J-LiC等が403で最新値を確認できず(1月決算)
連結子会社(50%超),3922,ＰＲ　ＴＩＭＥＳ,プライム,299.0,3.13,6058,ベクトル,プライム,930.6,52.53,所有株式数,不明,https://www.ullet.com/%EF%BC%B0%EF%BC%B2%E3%80%80%EF%BC%B4%EF%BC%A9%EF%BC%AD%EF%BC%A5%EF%BC%B3/%E5%A4%A7%E6%A0%AA%E4%B8%BB,親会社が筆頭株主。ullet表示は2026年時点(2月期)だが基準日の明示なし
連結子会社(50%超),4293,セプテーニ・ホールディングス,スタンダード,1049.7,1.58,4324,電通グループ,プライム,9321.7,52.48,所有株式数,2025-12-31,https://www.ullet.com/%E3%82%BB%E3%83%97%E3%83%86%E3%83%BC%E3%83%8B%E3%83%BB%E3%83%9B%E3%83%BC%E3%83%AB%E3%83%87%E3%82%A3%E3%83%B3%E3%82%B0%E3%82%B9/%E5%A4%A7%E6%A0%AA%E4%B8%BB,12月決算
連結子会社(50%超),8014,蝶理,プライム,1047.4,1.0,3402,東レ,プライム,18179.1,52.33,所有株式数,2026-03-31,https://www.ullet.com/8014.html,
連結子会社(50%超),3788,ＧＭＯグローバルサイン・ホールディングス,プライム,231.3,2.24,9449,ＧＭＯインターネットグループ,プライム,3722.5,51.97,所有株式数,2025-12-31,https://www.ullet.com/ＧＭＯグローバルサイン・ホールディングス/大株主,
連結子会社(50%超),8060,キヤノンマーケティングジャパン,プライム,7595.6,1.95,7751,キヤノン,プライム,37587.0,51.96,所有株式数,2025-12-31,https://www.ullet.com/%E3%82%AD%E3%83%A4%E3%83%8E%E3%83%B3%E3%83%9E%E3%83%BC%E3%82%B1%E3%83%86%E3%82%A3%E3%83%B3%E3%82%B0%E3%82%B8%E3%83%A3%E3%83%91%E3%83%B3/%E5%A4%A7%E6%A0%AA%E4%B8%BB,12月決算
連結子会社(50%超),3092,ＺＯＺＯ,プライム,10116.0,10.39,4689,ＬＩＮＥヤフー,プライム,36821.8,51.9,議決権,不明,https://japanir.jp/company/company-3092/ir/3092-20260629-01_wp_general_ir/,関係あり。2026年6月開示「支配株主等に関する事項」で支配株主＝LINEヤフー、議決権所有割合（直接・間接合算）51.9%。基準日は当該開示に明記なし
連結子会社(50%超),3280,エストラスト,スタンダード,56.7,0.53,9536,西部ガスホールディングス,プライム,958.1,51.9,所有株式数,不明,https://www.ullet.com/%E3%82%A8%E3%82%B9%E3%83%88%E3%83%A9%E3%82%B9%E3%83%88/%E3%83%8B%E3%83%A5%E3%83%BC%E3%82%B9,"ullet時系列(3,145千株保有)で2026年時点51.9%。基準日の明示なし。2017年TOBで西部ガス傘下入り"
連結子会社(50%超),6744,能美防災,プライム,2401.6,1.78,9735,セコム,プライム,25675.1,51.89,所有株式数,2026-03-31,https://www.ullet.com/%E8%83%BD%E7%BE%8E%E9%98%B2%E7%81%BD/%E5%A4%A7%E6%A0%AA%E4%B8%BB,
連結子会社(50%超),4506,住友ファーマ,プライム,7220.1,1.77,4005,住友化学,プライム,9584.2,51.76,所有株式数,不明,https://web.fisco.jp/platform/companies/0450600,FISCOは基準日を表示しないため基準日不明。
連結子会社(50%超),3628,データホライゾン,グロース,90.7,45.6,2432,ディー・エヌ・エー,プライム,2354.9,51.49,所有株式数,2026-03-31,https://www.ullet.com/%E3%83%87%E3%83%BC%E3%82%BF%E3%83%9B%E3%83%A9%E3%82%A4%E3%82%BE%E3%83%B3/%E5%A4%A7%E6%A0%AA%E4%B8%BB,"6,535千株"
連結子会社(50%超),3841,ジーダット,スタンダード,51.9,2.04,7595,アルゴグラフィックス,プライム,884.3,51.4,所有株式数,2024-03-31,https://www.jedat.co.jp/wp-content/uploads/2024/06/yuukasyoukenhoukokusyo22nd.pdf,"親子関係あり。第22期有価証券報告書に「アルゴグラフィックスが当社の親会社であり当社は同社の連結子会社」と明記。1,980,000株・51.4%（自己株式控除後）。2026年6月19日付で「支配株主等に関する事項について」を開示しており関係は継続中だが、最新比率は本文取得できず基準日は2024-03-31"
連結子会社(50%超),9565,ＧＬＯＥ,グロース,18.0,3.62,3904,カヤック,グロース,65.2,51.4,議決権,2025-10-31,https://kitaishihon.com/company/9565/board-of-director,親子関係あり。有価証券報告書の関係会社欄に親会社カヤック51.4%と記載
連結子会社(50%超),1948,弘電社,スタンダード,998.3,4.03,6503,三菱電機,プライム,104900.3,51.36,議決権,2026-07-07,https://finance.biggo.jp/news/jpx_tdnet_140120260707588701,2026年5月にきんでんがTOBを実施し42.53%を取得（三菱電機は不応募で51.36%維持）、2026年9月25日に上場廃止予定／2026年5月25日にきんでん(1944)がTOBを発表し2026年7月に成立、きんでんが42.53%取得（三菱電機は不応募合意で51.36%を継続保有、両社合計93.89%）。2026年8月25日付株式併合、2026年9月25日に上場廃止予定
連結子会社(50%超),9691,両毛システムズ,スタンダード,,,7280,ミツバ,プライム,636.0,51.31,議決権,2026-05-15,https://maonline.jp/db/tob/2026/3380,2026年5月にミツバと中部電力が共同TOBを発表（買付期間〜7月8日）。9月中旬時点では東証で売買が継続している／2026-05-15にミツバと中部電力(9502)が共同でTOBを発表（買付期間2026-05-15〜07-08）、成立後は議決権をミツバ80%・中部電力20%として非公開化する予定。2026-09時点では既に上場廃止となっている可能性が高い。数値はTOB前のミツバの保有比率
連結子会社(50%超),3969,エイトレッド,スタンダード,105.0,1.86,3371,ソフトクリエイトホールディングス,プライム,553.7,51.29,所有株式数,2026-03-31,https://www.ullet.com/%E3%82%A8%E3%82%A4%E3%83%88%E3%83%AC%E3%83%83%E3%83%89/%E5%A4%A7%E6%A0%AA%E4%B8%BB,"関係確認。ソフトクリエイトHDが3,840千株51.29%で筆頭株主。会社IRの株式情報ページは基準日が古く(2022年)大株主表なし、Ullet(有報ベース)を採用"
連結子会社(50%超),6391,加地テック,スタンダード,79.2,0.93,7003,三井Ｅ＆Ｓ,プライム,4423.2,51.06,所有株式数,2026-03-31,https://www.kajitech.com/ir/ir-shareholders/,公式IR
